image_id,competitor_product_id,url,source_page,publisher,match_state,retrieved_at,source_id
cimg-dyson-purifier-cool-tp07-0,dyson-purifier-cool-tp07,"https://dyson-h.assetsadobe2.com/is/image/content/dam/dyson/images/products/hero/369690-01.png?$responsive$&cropPathE=desktop&fit=stretch,1&wid=1920",https://www.dyson.nl/luchtbehandeling/luchtreiniger-ventilator/purifier-cool-tp07/wit-zilver,Dyson,VERIFIED_EXACT,2026-08-27,src-76a853f9e086
cimg-dyson-purifier-humidify-cool-ph04-1,dyson-purifier-humidify-cool-ph04,"https://dyson-h.assetsadobe2.com/is/image/content/dam/dyson/images/products/hero/379491-01.png?$responsive$&cropPathE=desktop&fit=stretch,1&wid=1920",https://www.dyson.nl/luchtbehandeling/luchtreiniger-luchtbevochtiger-ventilator/purifier-humidify-cool-formaldehyde-ph04/wit-goud,Dyson,VERIFIED_EXACT,2026-08-27,src-f99d4b7a79da
cimg-ikea-starkvind-2,ikea-starkvind,https://www.ikea.com/nl/en/images/products/starkvind-air-purifier-black-smart__0978609_pe814182_s5.jpg,https://www.ikea.com/nl/en/p/starkvind-air-purifier-black-smart-60502013/,IKEA,VERIFIED_EXACT,2026-08-27,src-83b8ed5c77d0
cimg-winix-t800-3,winix-t800,https://winixeurope.eu/wp-content/uploads/2024/10/Luchtreiniger-winix-T800-met-app.png,https://winixeurope.eu/en/air-purifiers/air-purifier-winix-t800/,WINIX Europe,VERIFIED_EXACT,2026-08-27,src-a4aee965d218
cimg-coway-airmega-150-4,coway-airmega-150,https://coway.co.uk/cdn/shop/files/WhiteMain_430x_49f76bdc-505c-4ca6-9ab6-d6220f1e5df9.webp?v=1774951834,https://coway.co.uk/products/airmega-150-white,Coway,VERIFIED_EXACT,2026-08-27,src-e8021ecf8d9d
cimg-coway-airmega-mighty-5,coway-airmega-mighty,https://coway.co.uk/cdn/shop/files/B071SLZRRV.PT01.webp?v=1774960049,https://coway.co.uk/products/airmega-mighty-black,Coway,VERIFIED_EXACT,2026-08-27,src-ea262e8901c7
cimg-levoit-core-300s-6,levoit-core-300s,https://levoit.co.uk/cdn/shop/files/B0FDWK7YL2.MAIN.jpg?v=1775118661,https://levoit.co.uk/products/levoit-core-300s-smart-air-purifier,Levoit,VERIFIED_EXACT,2026-08-27,src-6c6cf9876a8b
cimg-levoit-oasismist-7,levoit-oasismist,https://levoit.co.uk/cdn/shop/files/B0BSFX9YJ2.MAIN.png?v=1706015161,https://levoit.co.uk/products/levoit-oasismist-smart-humidifier,Levoit,VERIFIED_EXACT,2026-08-27,src-db7ae2aea7c6
cimg-delonghi-magnifica-evo-0,delonghi-magnifica-evo,https://image.coolblue.nl/max/1400xauto/products/1796927,https://www.coolblue.nl/product/896292/de-longhi-magnifica-evo-ecam290-61-sb.html,Coolblue,VERIFIED_EXACT,2026-08-27,src-img-coffee-delonghi-magnifica-evo
cimg-delonghi-primadonna-soul-0,delonghi-primadonna-soul,https://image.coolblue.nl/500x500/products/1792465,https://www.coolblue.nl/product/866730/de-longhi-primadonna-soul-ecam-610-75-mb.html,Coolblue,VERIFIED_EXACT,2026-08-27,src-img-coffee-delonghi-primadonna-soul
cimg-jura-e8-0,jura-e8,https://image.coolblue.nl/500x500/products/2039500,https://www.coolblue.nl/product/947475/jura-e8-piano-black-ec.html,Coolblue,VERIFIED_EXACT,2026-08-27,src-img-coffee-jura-e8
cimg-melitta-barista-t-smart-0,melitta-barista-t-smart,https://image.coolblue.nl/500x500/products/2105001,https://www.coolblue.nl/product/808752/melitta-barista-t-smart-zwart-f830-102.html,Coolblue,VERIFIED_EXACT,2026-08-27,src-img-coffee-melitta-barista-t-smart
cimg-nespresso-vertuo-next-0,nespresso-vertuo-next,https://nespresso-b2c.s3.eu-central-1.amazonaws.com/website+images/vertuo+next.png,https://www.nespresso.com/nl/en/koffiemachines/vertuo/vertuo-next,Nespresso,VERIFIED_EXACT,2026-08-27,src-img-coffee-nespresso-vertuo-next
cimg-sage-barista-express-0,sage-barista-express,https://image.coolblue.nl/500x500/products/1351561,https://www.coolblue.nl/product/855808/sage-barista-express-stainless-steel.html,Coolblue,VERIFIED_EXACT,2026-08-27,src-img-coffee-sage-barista-express
cimg-krups-dolce-gusto-piccolo-xs-0,krups-dolce-gusto-piccolo-xs,https://image.coolblue.nl/500x500/products/1971375,https://www.coolblue.nl/product/936426/krups-nescafe-dolce-gusto-piccolo-xs-kp1a31.html,Coolblue,VERIFIED_EXACT,2026-08-27,src-img-coffee-krups-dolce-gusto-piccolo-xs
cimg-sage-bambino-plus-0,sage-bambino-plus,"https://assets.sageappliances.com/cdn-cgi/image/width=1300,format=auto/BES500/SES500BSS4EEU1/pdp_1300px.png?pdp",https://www.sageappliances.com/en-nl/product/bes500,Sage Appliances,VERIFIED_EXACT,2026-08-27,src-img-coffee-sage-bambino-plus
cimg-delonghi-dedica-style-ec685m-0,delonghi-dedica-style-ec685m,https://dam.delonghi.com/902x902/assets/223687,https://www.delonghi.com/nl-nl/p/dedica-handmatige-espressomachines-handmatige-espressomachine-dedica-style-ec685.m/EC685.M+EX:4.html?pid=0132106266,De'Longhi,VERIFIED_EXACT,2026-08-27,src-img-coffee-delonghi-dedica-style-ec685m
cimg-rancilio-silvia-e-v6-0,rancilio-silvia-e-v6,https://img.kavosdraugas.lt/83c0770d-fbf5-4de2-a5da-934a9f343306/1000x1000/silviae1jpg.jpg,https://www.coffeefriend.eu/p/coffee-machine-rancilio-silvia-e/,Coffee Friend,VERIFIED_EXACT,2026-08-27,src-img-coffee-rancilio-silvia-e-v6
cimg-nespresso-vertuo-next-matt-black-0,nespresso-vertuo-next-matt-black,https://image.coolblue.nl/500x500/products/1843915,https://www.coolblue.nl/en/product/879639/magimix-nespresso-vertuo-next-matte-black.html,Coolblue,VERIFIED_EXACT,2026-08-27,src-img-coffee-nespresso-vertuo-next-matt-black
cimg-dolce-gusto-genio-s-plus-0,dolce-gusto-genio-s-plus,https://image.coolblue.nl/500x500/products/1460346,https://www.coolblue.nl/product/866583/krups-dolce-gusto-genio-s-plus-kp3405-rood.html,Coolblue,VERIFIED_EXACT,2026-08-27,src-img-coffee-dolce-gusto-genio-s-plus
cimg-illy-y33-iperespresso-0,illy-y33-iperespresso,https://www.illy.com/dw/image/v2/BBDD_PRD/on/demandware.static/-/Sites-masterCatalog_illycaffe/default/dw3ce1c12a/products/sfra/machines/High2x/60495_High_2x_01.png?q=75,https://www.illy.com/nl-nl/shop/koffiemachines/iperespresso-koffiecapsules-machines/y3-3-iperespresso/Y3-3.html,illy,VERIFIED_EXACT,2026-08-27,src-img-coffee-illy-y33-iperespresso
cimg-sharkninja-ninja-foodi-dz401-0,sharkninja-ninja-foodi-dz401,https://assets.sharkninja.com/image/upload/f_auto/q_auto/SharkNinja-NA/DZ401_01.jpg,https://www.sharkninja.com/ninja-foodi-6-in-1-10-qt.-xl-2-basket-air-fryer-with-dualzone-technology/DZ401.html,SharkNinja,VERIFIED_EXACT,2026-08-27,src-img-fooda-sharkninja-dz401
cimg-cosori-pro-le-caf-l501-0,cosori-pro-le-caf-l501,https://cosori.com/cdn/shop/files/81vP0uyTkcL._AC_SL1500.jpg?v=1770088189&width=900,https://cosori.com/products/pro-le-5-0-quart-air-fryer,Cosori,VERIFIED_EXACT,2026-08-27,src-img-fooda-cosori-prole
cimg-bajaj-gx15-mixer-0,bajaj-gx15-mixer,https://www.bajajelectricals.com/cdn/shop/files/410561-BajajGX15MixerGrinder.jpg?v=1727081639&width=1500,https://www.bajajelectricals.com/products/bajaj-gx-15-mixer-grinder,Bajaj Electricals,VERIFIED_EXACT,2026-08-27,src-img-fooda-bajaj-gx15
cimg-bajaj-glamore-1000w-0,bajaj-glamore-1000w,https://www.bajajelectricals.com/cdn/shop/files/B0CZTM39NC_MAIN_jpg.jpg?v=1748944731&width=1500,https://www.bajajelectricals.com/collections/mixer-grinder/products/bajaj-military-series-glamore-4-jar-1000w-jet-black-mixer-grinder,Bajaj Electricals,VERIFIED_EXACT,2026-08-27,src-img-fooda-bajaj-glamore
cimg-instantpot-duo-6qt-0,instantpot-duo-6qt,https://instantpot.com/cdn/shop/files/112-0170-01_Duo_6_Qt_Silo_01_ATF.png?v=1752158152&width=3000,https://instantpot.com/products/instant-pot-duo-6qt-multi-use-pressure-cooker,Instant Pot,VERIFIED_EXACT,2026-08-27,src-img-fooda-instantpot-duo6qt
cimg-vitamix-5200-0,vitamix-5200,https://www.vitamix.com/media_41bd85967ef067854ae6f8d6620706d2ccdd8dd8.jpg?width=750&format=jpg&optimize=medium,https://www.vitamix.com/us/en_us/shop/blenders/5200-plus-stainless-steel-container,Vitamix,VERIFIED_EXACT,2026-08-27,src-img-fooda-vitamix-5200
cimg-arno-airfryer-afm7-0,arno-airfryer-afm7,https://lojaarno.vtexassets.com/arquivos/ids/172935-800-auto?v=638732501795370000&width=800&height=auto&aspect=true,https://www.arno.com.br/fritadeira-sem-oleo-air-fryer-arno-mega-7-5l-preta-afm7-1510002779/p,Arno,VERIFIED_EXACT,2026-08-27,src-img-fooda-arno-afm7
cimg-mondial-airfryer-afn40bf-0,mondial-airfryer-afn40bf,https://lojamundial.vtexassets.com/arquivos/ids/165082-800-auto?v=638874989001600000&width=800&height=auto&aspect=true,https://www.mondial.com.br/fritadeira-sem-oleo-air-fryer-4l-mondial-preto-1500w-afn-40-bf/p,Mondial,VERIFIED_EXACT,2026-08-27,src-img-fooda-mondial-afn40bf
cimg-britania-airfryer-baf52-0,britania-airfryer-baf52,https://philco.vtexassets.com/arquivos/ids/250540-800-800?v=638730742520300000&width=800&height=800&aspect=true,https://www.britania.com.br/fritadeira-air-fryer-baf52-127v-063801119/p,Britania,VERIFIED_EXACT,2026-08-27,src-img-fooda-britania-baf52
